repeated_times,Accuracy,Precision,Recall,F1,AUC,Process Time
30,0.8389261744966443,0.8056680161943319,0.5847362514029181,0.6016042780748663,0.5847362514029181,1.1194653511047363
30,0.8322147651006712,0.7684027777777778,0.5586672738312083,0.5623825187969924,0.5586672738312083,1.1506094932556152
30,0.8187919463087249,0.8097222222222222,0.5624649859943978,0.5629549158066268,0.5624649859943978,1.090029239654541
30,0.8691275167785235,0.9322916666666667,0.6020408163265306,0.6331786762617176,0.6020408163265306,1.1736397743225098
30,0.8624161073825504,0.7548575740426334,0.6165458937198067,0.6460089816022019,0.6165458937198068,1.1016557216644287
30,0.8624161073825504,0.8938631790744467,0.6206006931074316,0.6552774877973084,0.6206006931074316,1.1383204460144043
30,0.8221476510067114,0.8048289738430583,0.5838348205021789,0.5958029430582213,0.5838348205021788,1.1747524738311768
30,0.8489932885906041,0.8189134808853118,0.5976511359260686,0.6216460231921677,0.5976511359260686,1.0926322937011719
30,0.825503355704698,0.8495689655172414,0.5582614942528735,0.5570040022870212,0.5582614942528735,1.1412489414215088
30,0.7718120805369127,0.6328994529334088,0.545519157459456,0.537984496124031,0.545519157459456,1.1449029445648193
30,0.8523489932885906,0.8040780141843972,0.6072545340838024,0.6348039215686274,0.6072545340838025,1.1206064224243164
30,0.825503355704698,0.8131944444444444,0.5647988505747127,0.5684046345811051,0.5647988505747127,1.0878369808197021
30,0.8422818791946308,0.9178321678321678,0.6016949152542372,0.6242521797451375,0.6016949152542372,1.0984435081481934
30,0.8590604026845637,0.8394044979410833,0.5878206704368495,0.610820895522388,0.5878206704368494,1.1643013954162598
30,0.8624161073825504,0.9290657439446367,0.59,0.6143673263264211,0.59,1.1415126323699951
30,0.8590604026845637,0.8942285041224971,0.625215114104003,0.6600760456273764,0.625215114104003,1.1008687019348145
30,0.8389261744966443,0.7889281507656065,0.5917695473251029,0.6115154807170016,0.5917695473251029,1.0678095817565918
30,0.8422818791946308,0.8744060817231549,0.5872195985832349,0.6048302908895974,0.5872195985832349,1.0660319328308105
30,0.8422818791946308,0.8577127659574468,0.6144599673782001,0.6415611004478567,0.6144599673782001,1.0710053443908691
30,0.8288590604026845,0.9114583333333333,0.5819672131147541,0.5922736418511066,0.5819672131147541,1.098513126373291
30,0.8087248322147651,0.9010416666666667,0.5746268656716418,0.574956835072442,0.5746268656716418,1.0671286582946777
30,0.825503355704698,0.8562091503267973,0.5657045599602866,0.5684046345811051,0.5657045599602866,1.0977842807769775
30,0.8825503355704698,0.865336435218325,0.7695939253879167,0.8035152497032949,0.7695939253879168,1.0711610317230225
30,0.8489932885906041,0.8189134808853118,0.5976511359260686,0.6216460231921677,0.5976511359260686,1.0972113609313965
30,0.8624161073825504,0.8599094567404426,0.613598475827578,0.6460089816022019,0.6135984758275781,1.0757472515106201
30,0.87248322147651,0.9342560553633218,0.5957446808510638,0.6255291005291005,0.5957446808510638,1.0627384185791016
30,0.8355704697986577,0.8344988344988344,0.5835699206522531,0.5984379726645216,0.5835699206522531,1.0719270706176758
30,0.8624161073825504,0.7812415654520918,0.5898895790200138,0.6143673263264211,0.5898895790200138,1.1288275718688965
30,0.8389261744966443,0.8136317907444668,0.5920159386068478,0.6115154807170016,0.5920159386068476,1.054178237915039
30,0.8523489932885906,0.7759784075573549,0.5838046061798213,0.6039627884499215,0.5838046061798213,1.0633091926574707
